,ADX,SMA,RSI,MACD,MACD_Hist,MACD_Signal,open,high,low,close,adjusted close,volume,dividend amount
1211,-0.8599871701406285,-0.867603281041505,-0.8066602272356863,-0.0372791704442249,-0.018891102856495666,-0.03349851829089832,-0.8657359655654169,-0.8695578253589471,-0.8650641659721657,-0.8681335685638456,-0.8229080731716963,-0.9801319986536884,-0.05142682596255755
1212,-0.8248755173713754,-0.8678041325803292,-0.7305296285455806,-0.038905562594793885,-0.019361686662338312,-0.03507689605999461,-0.8677388722912409,-0.8698589066049149,-0.8653092914262581,-0.8677691468139959,-0.8228220100794423,-0.8952308571747042,-0.05142682596255755
1213,-0.8395104969844793,-0.8678528238624685,-0.43804987414271346,-0.03808194092880062,-0.013378549702338932,-0.03617731436380118,-0.8674960957184139,-0.8693169603621729,-0.8650028846086427,-0.8663721967729052,-0.8224913466197293,-0.9235458367806693,-0.05142682596255755
1214,-0.7986109557442874,-0.8680962802731645,-0.9359367807266218,-0.041491109090570216,-0.019529752307282117,-0.03777792280570166,-0.8677995664344477,-0.8713040965855603,-0.8659833864250116,-0.8694697816466279,-0.8232228829038889,-0.9938953124064719,-0.05142682596255755
1215,-0.651308041193068,-0.8683579959146629,-1.2325358776355482,-0.04702709775693003,-0.029949822293797897,-0.040234412150562796,-0.8694383083010311,-0.8709427990903992,-0.8684346409659341,-0.8717170491040345,-0.8237528503667165,-0.8014826532356969,-0.05142682596255755
1216,-0.4512454102214999,-0.8688509951463224,-1.278775497266062,-0.05158308089666493,-0.03573128047986472,-0.043179976297115744,-0.8708949677379941,-0.8731105840613672,-0.870395644598672,-0.872081470853884,-0.8238389134589705,-0.8302465555654998,-0.05142682596255755
1217,-0.27119057963486287,-0.8690092418132749,-0.781043066026131,-0.05190627420863697,-0.029445625358966488,-0.045603119632770625,-0.8716839915996824,-0.8731708003105607,-0.8683120782388879,-0.8699556773130941,-0.8233383886329666,-1.0182137848368078,-0.05142682596255755
1218,-0.10913738888745343,-0.8695691915578757,-0.9060393651943641,-0.052896705325970655,-0.02615153871806795,-0.04774837955837334,-0.8699845555898922,-0.8736525303041093,-0.8672090136954728,-0.8707452577711019,-0.8235241037267781,-1.1027645476045038,-0.05142682596255755
1219,-0.16588636708259302,-0.8702326102770226,-0.8459098375512314,-0.05299053564234962,-0.02121040875672015,-0.04948237203709885,-0.8701059438763058,-0.8716051778315282,-0.867331576422519,-0.8705023099378687,-0.8234674832713478,-1.0577135098671708,-0.05142682596255755
1220,-0.13692386541128232,-0.870920374637239,-1.1839598184273785,-0.05555523095670841,-0.02359694091492215,-0.051427555907464007,-0.8707735794515804,-0.8741944765468515,-0.8689861732376417,-0.8725673665203504,-0.8239544191880483,-1.0629801398712193,-0.05142682596255755
1221,-0.06659294972856188,-0.871358596176492,-1.1666843257925927,-0.05708779279089841,-0.022891065206158173,-0.05330604775941665,-0.8721695447453366,-0.8755794502783033,-0.8700279564175336,-0.8725066295620422,-0.8239408302787451,-0.9896524451994683,-0.05142682596255755
1222,-0.11633958211091905,-0.8716750895103968,-0.7232950332693141,-0.0557324659987576,-0.014857527377844397,-0.05451761942724408,-0.8726550978909909,-0.8743149090452385,-0.86935386141878,-0.8709274686460265,-0.8235671352729051,-0.9449901088449704,-0.05142682596255755
1223,-0.3061561900655401,-0.871845508997884,-0.06976134468302575,-0.05038413796515575,0.0018818108585583742,-0.0543397740448107,-0.8704701087355466,-0.8709427990903992,-0.8669026068778576,-0.8680728316055373,-0.8228944842623931,-0.9638558125808859,-0.05142682596255755
1224,-0.473566828707032,-0.87164465745906,0.05215832055099426,-0.045046235522262675,0.015259836196085086,-0.05307262569497282,-0.8677995664344477,-0.8708825828412055,-0.865431854153304,-0.8674654620224544,-0.8227495358964916,-0.9970706194775197,-0.05142682596255755
1225,-0.48618027489668725,-0.8712186087403418,0.05215832055099426,-0.04059450828961552,0.02362950531428647,-0.0511052111518035,-0.8664036011406916,-0.8681728516274952,-0.8636546946111354,-0.8674654620224544,-0.8227495358964916,-0.7594317332137677,-0.05142682596255755
1226,-0.651554007236986,-0.8707864736113563,-0.033659169501016724,-0.03732087280706,0.027326949503050132,-0.04882656718937574,-0.8678602605776546,-0.8704610690968506,-0.8661672305155809,-0.8677691468139959,-0.8228220100794423,-0.806541245879918,-0.05142682596255755
1227,-0.8107478427238518,-0.8707499551497518,-0.5141032351608307,-0.03708108422075816,0.022453045799679848,-0.046959190673825195,-0.8691348375849971,-0.8722073403234638,-0.86635107460615,-0.8695912555632443,-0.8232523255407126,-0.9167189265779163,-0.05142682596255755
1228,-0.8852063760810666,-0.870555190021195,-0.2960484141916547,-0.03563192711223836,0.021646330703949595,-0.04514739084028508,-0.86889206101217,-0.8709427990903992,-0.8659833864250116,-0.8688016751052366,-0.823064345628684,-0.9307888217030768,-0.05142682596255755
1229,-0.9563520542842644,-0.870360424892638,-0.22766089211840665,-0.03402638614308693,0.02144465193001703,-0.043368937015951216,-0.8691348375849971,-0.8715449615823347,-0.8660446677885346,-0.8685587272720036,-0.8230077251732536,-0.9700421867020655,-0.05142682596255755
1230,-1.0759530431392514,-0.8700134995073961,-0.39028481049042413,-0.03336957392843408,0.018789214739904945,-0.04180167458325701,-0.8671926250023798,-0.8710632315887862,-0.8668413255143346,-0.8691053598967782,-0.8231368198116348,-0.9662865648904467,-0.05142682596255755
1231,-1.1835939331087395,-0.8696848333529564,-0.4279703579481996,-0.03290042234653918,0.01620100380777038,-0.040445603542202446,-0.8684672020097225,-0.8715449615823347,-0.8660446677885346,-0.8692268338133948,-0.8231662624484586,-0.9585453852379265,-0.05142682596255755
1232,-1.2365534969397718,-0.8696239692502825,-0.7597640873932693,-0.033911704645290405,0.010352319363726041,-0.039578607302839686,-0.8690741434417903,-0.8722675565726575,-0.8674541391495652,-0.8703200990629438,-0.8234244517252206,-0.778401455629597,-0.05142682596255755
1233,-1.3135408686860153,-0.8697335246350957,-0.3399902130805076,-0.03299425266291815,0.010621224395636123,-0.03867826505427067,-0.8713805208836483,-0.8719062590774961,-0.8677605459671803,-0.8691660968550864,-0.823150408720938,-0.594666144230565,-0.05142682596255755
