,date,ADX,SMA,RSI,MACD,MACD_Hist,MACD_Signal,open,high,low,close,adjusted close,volume,dividend amount,split coefficient,Target
0,1998-02-20,35.8066,19.5620,62.2914,0.4518,0.1604,0.2913,20.5000,20.5600,19.8100,20.0000,0.6330,2905500,0.0000,1.0000,0.7735
1,1998-02-23,38.2897,19.8370,72.2154,0.5519,0.2084,0.3435,20.1200,21.6200,20.0000,21.2500,0.6726,4263300,0.0000,1.0000,0.7200
2,1998-02-24,40.5245,20.0490,72.6000,0.6289,0.2283,0.4005,21.3100,21.3700,20.7500,21.3100,0.6745,4076700,0.0000,1.0000,0.7615
3,1998-02-25,43.7290,20.3360,78.1904,0.7617,0.2890,0.4728,21.3100,22.7500,20.9400,22.3100,0.7061,6363100,0.0000,1.0000,0.8267
4,1998-02-26,47.0657,20.7860,82.8240,0.9521,0.3835,0.5686,22.3100,23.5600,21.8700,23.5000,0.7438,5313700,0.0000,1.0000,0.8546
5,1998-02-27,50.2190,21.2110,83.2234,1.1000,0.4251,0.6749,23.3100,23.8700,22.5600,23.6200,0.7476,4639300,0.0000,1.0000,0.8584
6,1998-03-02,51.8439,21.5360,70.0945,1.1339,0.3672,0.7667,23.5600,23.5600,22.2500,22.7500,0.7200,3575400,0.0000,1.0000,0.8447
7,1998-03-03,51.0927,21.8860,72.1692,1.1771,0.3283,0.8488,21.8700,23.1900,21.6200,23.1200,0.7318,2982800,0.0000,1.0000,0.8337
8,1998-03-04,51.9077,22.2740,78.1719,1.3028,0.3632,0.9396,22.8700,24.7500,22.8700,24.4400,0.7735,7302000,0.0000,1.0000,0.8527
9,1998-03-05,52.6412,22.6360,73.1268,1.3561,0.3332,1.0229,23.2500,24.2500,23.1200,24.0600,0.7615,6027900,0.0000,1.0000,0.8466
10,1998-03-06,53.5065,23.0800,74.9249,1.4127,0.3119,1.1009,23.8700,24.5000,23.3700,24.4400,0.7735,5950600,0.0000,1.0000,0.8346
11,1998-03-09,51.6578,23.2300,56.3075,1.3062,0.1643,1.1419,23.7500,24.3100,22.5000,22.7500,0.7200,5133300,0.0000,1.0000,0.8267
12,1998-03-10,50.2410,23.5050,64.0098,1.3123,0.1363,1.1760,23.0000,24.5000,22.9400,24.0600,0.7615,6365200,0.0000,1.0000,0.8862
13,1998-03-11,50.6734,23.8860,72.4848,1.4665,0.2324,1.2341,25.1200,26.1900,24.5600,26.1200,0.8267,10842300,0.0000,1.0000,0.8596
14,1998-03-12,51.6395,24.2360,75.2510,1.6408,0.3254,1.3155,26.1200,27.0000,25.5600,27.0000,0.8546,6646100,0.0000,1.0000,0.8406
15,1998-03-13,52.6746,24.5860,75.6223,1.7682,0.3622,1.4060,27.2500,27.2500,26.2500,27.1200,0.8584,5055000,0.0000,1.0000,0.8527
16,1998-03-16,53.4279,24.9800,71.3595,1.8136,0.3261,1.4875,27.1200,27.2500,26.1900,26.6900,0.8447,3592500,0.0000,1.0000,0.8685
17,1998-03-17,53.1249,25.3020,67.8980,1.8006,0.2505,1.5501,26.5000,26.6900,25.8700,26.3400,0.8337,3663000,0.0000,1.0000,0.8704
18,1998-03-18,53.1026,25.5520,70.6132,1.8177,0.2141,1.6037,26.0000,26.9400,26.0000,26.9400,0.8527,2473200,0.0000,1.0000,0.8704
19,1998-03-19,53.0824,25.8210,68.5725,1.7953,0.1533,1.6420,26.8700,26.9400,26.5600,26.7500,0.8466,1429100,0.0000,1.0000,0.8644
20,1998-03-20,51.1917,26.0140,64.4344,1.7269,0.0679,1.6590,26.6900,26.8700,26.0000,26.3700,0.8346,1923900,0.0000,1.0000,0.8565
