,ADX,SMA,RSI,MACD,MACD_Hist,MACD_Signal,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
115,29.2268,34.9280,59.4872,1.2289,-0.2079,1.4369,33.7500,36.0000,33.5000,36.0000,1.1394,4054300,0.0000,1.0000
116,27.2768,35.1220,63.0988,1.2975,-0.1115,1.4090,35.0600,36.8800,34.8800,36.8800,1.1673,3916200,0.0000,1.0000
117,26.1358,35.3030,60.5106,1.3061,-0.0823,1.3884,37.1900,37.3800,36.0000,36.5000,1.1552,2660900,0.0000,1.0000
118,25.8929,35.6530,66.3263,1.4128,0.0196,1.3933,36.3100,38.0600,36.2500,37.9400,1.2008,4362500,0.0000,1.0000
119,28.0337,36.1900,69.9464,1.5649,0.1373,1.4276,37.7500,41.0000,37.3800,39.0000,1.2344,15709600,0.0000,1.0000
120,29.9604,36.6830,73.1532,1.7508,0.2586,1.4923,39.7500,40.9400,39.4800,40.0600,1.2679,6158700,0.0000,1.0000
121,31.5056,36.9770,68.4093,1.8270,0.2678,1.5592,39.9400,40.7500,39.3800,39.4400,1.2483,3489100,0.0000,1.0000
122,32.8963,37.5640,71.8741,1.9505,0.3130,1.6375,40.6900,40.7500,39.5000,40.5000,1.2818,4024800,0.0000,1.0000
123,35.4900,38.2450,75.8690,2.1399,0.4019,1.7379,41.0000,42.8100,39.8800,41.9400,1.3274,8311400,0.0000,1.0000
124,38.1137,39.0820,77.4044,2.3133,0.4603,1.8530,42.4400,43.3800,42.2500,42.5600,1.3470,5410300,0.0000,1.0000
125,38.1105,39.5820,65.7149,2.2984,0.3563,1.9421,43.5000,43.7500,41.0000,41.0000,1.2977,4339200,0.0000,1.0000
126,36.8812,39.9570,63.1997,2.2310,0.2311,1.9999,41.0000,41.1300,40.2500,40.6300,1.2860,3499300,0.0000,1.0000
127,37.5721,40.6070,71.0782,2.3418,0.2736,2.0683,40.0000,43.5600,39.0000,43.0000,1.3610,7262300,0.0000,1.0000
128,38.1938,40.9320,60.1507,2.2576,0.1514,2.1061,43.4400,43.5000,40.1300,41.1900,1.3037,5448000,0.0000,1.0000
129,38.7535,41.1130,58.0682,2.1355,0.0235,2.1120,42.3800,42.3800,40.3100,40.8100,1.2916,4424700,0.0000,1.0000
130,37.8231,41.1450,55.6459,1.9813,-0.1046,2.0859,39.8800,41.1300,39.5000,40.3800,1.2780,3629300,0.0000,1.0000
131,35.5768,40.9510,42.4639,1.6081,-0.3822,1.9903,39.2500,39.2500,35.6300,37.5000,1.1869,9948600,0.0000,1.0000
132,34.6533,40.3200,32.6015,1.0333,-0.7656,1.7989,37.1300,38.5000,34.1300,34.1900,1.0821,8323700,0.0000,1.0000
133,35.5254,39.2450,26.4217,0.3319,-1.1736,1.5055,34.7500,34.8800,31.0000,31.1900,0.9872,7752000,0.0000,1.0000
134,35.7450,38.4020,39.0103,0.0132,-1.1939,1.2070,31.3700,35.3800,30.6200,34.1300,1.0802,7759600,0.0000,1.0000
135,33.8893,37.8580,44.1723,-0.1227,-1.0638,0.9411,35.5000,37.3800,35.2500,35.5600,1.1255,7526800,0.0000,1.0000
136,32.9961,37.2580,41.6264,-0.3019,-0.9944,0.6925,35.0000,35.1300,34.0000,34.6300,1.0961,3658500,0.0000,1.0000
137,30.9615,36.4710,43.5693,-0.3989,-0.8732,0.4742,35.5000,36.4400,33.7500,35.1300,1.1119,3368500,0.0000,1.0000
138,28.0800,36.1770,54.1500,-0.2216,-0.5566,0.3351,38.0000,38.2500,36.7500,38.2500,1.2106,3596400,0.0000,1.0000
139,25.4866,35.8340,51.1770,-0.1495,-0.3876,0.2382,38.0600,38.1300,37.0000,37.3800,1.1831,3166900,0.0000,1.0000
