timestamp,open,high,low,close,volume
03-10-2018,154,154.36,152.8,153.22,3315298
02-10-2018,152.99,153.84,152.5,153.75,3030125
01-10-2018,151.71,153.42,151.71,153,3757419
28-09-2018,151.16,151.625,150.79,151.21,3305798
27-09-2018,152.01,152.3888,151.16,151.5,3477643
26-09-2018,152.4,153.35,151.34,151.61,7401862
25-09-2018,149.91,150.41,148.36,148.91,4397457
24-09-2018,151.1,151.2,149.46,150.03,4264984
21-09-2018,151.48,152.6,150.74,151.35,19947878
20-09-2018,149.58,151.38,149.44,151.15,5952223
19-09-2018,148.63,149.9599,148.23,149.06,4246382
18-09-2018,147.76,148.985,147.47,148.56,3629596
17-09-2018,148.44,149.07,147.77,147.94,3551882
14-09-2018,148.85,149.3,147.78,148.33,3452144
13-09-2018,147.35,149,147.1179,148.95,5346540
12-09-2018,146.37,147.98,146.03,146.57,4506679
11-09-2018,146,146.99,145.25,146.49,3374774
10-09-2018,146.6,147.3,145.56,145.65,3618209
07-09-2018,145.94,146.5031,145.12,145.45,4693127
06-09-2018,146.88,147.66,145.54,146.39,4248831
05-09-2018,145.19,146.75,145.05,146.66,3126540
04-09-2018,145.98,146.19,144.81,145.68,3326153
31-08-2018,145.72,146.78,145.5401,146.48,3488476
30-08-2018,147.03,147.3,145.25,145.93,3340369
29-08-2018,146.87,147.93,146.6,147.54,3153845
28-08-2018,146.95,146.99,146.19,146.59,2455328
27-08-2018,146.94,147.62,146.52,146.69,3491565
24-08-2018,145.46,146.0869,144.87,146.04,2776813
23-08-2018,145.04,145.52,144.75,145.37,2220603
22-08-2018,146.01,146.16,145.19,145.24,2388961
21-08-2018,147,147.12,145.89,145.97,3106876
20-08-2018,146.37,147.16,146.15,146.51,2499654
17-08-2018,144.79,146.39,144.69,146.06,2678820
16-08-2018,144.37,145.68,144.37,145.34,5250878
15-08-2018,142.55,144,142,143.91,4241496
14-08-2018,143,143.82,142.93,143.36,2860041
13-08-2018,144.15,144.3,142.53,142.71,2858842
10-08-2018,144.5,145.07,143.88,144.48,3003158
09-08-2018,145.53,145.94,144.73,144.77,3093504
08-08-2018,147.33,147.43,146.24,146.89,3581746
07-08-2018,146.65,147.64,146.35,147.01,3508758
06-08-2018,146.95,147.2,145.57,146.03,3913743
03-08-2018,143.24,147.92,143,147.7,8053567
02-08-2018,142.86,143.36,142.33,142.96,3841447
01-08-2018,144.76,145.19,143.34,143.5,3388386
31-07-2018,145.74,145.8,144.159,144.93,5474478
30-07-2018,144.8,146.24,144.69,145.49,3608283
27-07-2018,146.89,147.14,144.66,145.15,3749642
26-07-2018,147.43,149.27,146.63,146.71,4778022
25-07-2018,146.01,146.65,145.5,146.62,3623182
24-07-2018,146.7,147.04,145.92,146.38,3891625
23-07-2018,146.35,146.7,145.015,145.7,3897892
20-07-2018,148.58,148.86,146.26,146.35,6415972
19-07-2018,147.85,150.54,147.25,149.24,14655804
18-07-2018,143.51,144.8,142.7351,144.52,6935288
17-07-2018,144.75,145,143.34,143.49,5096741
16-07-2018,145.67,145.79,144.21,145.46,3468817
13-07-2018,146.45,146.9799,145.8,145.9,3067638
12-07-2018,145.85,146.83,145.74,146.45,3119505
11-07-2018,144,146.19,144,144.94,3526565
10-07-2018,144.51,145.59,144.255,144.71,3776991
09-07-2018,142.59,144.72,142.47,144.39,3904652
06-07-2018,141.53,142.94,141.17,142.48,2910426
05-07-2018,140.48,141.43,139.93,141.43,3744730
03-07-2018,140.65,140.94,139.3678,139.57,1963232
02-07-2018,138.28,140.22,138.2,139.86,3405642
29-06-2018,140.32,141.359,139.61,139.7,3753684
28-06-2018,138.1,140.54,137.945,140.04,4523666
27-06-2018,139.11,139.78,137.45,137.48,4097588
26-06-2018,139.36,139.8499,138.33,139.08,4139455
25-06-2018,140.4,140.4,138.28,138.79,8937085
22-06-2018,141.64,141.81,140.78,141.28,6013678
21-06-2018,142.59,143.14,140.83,141.25,3887650
20-06-2018,144.22,144.52,142.41,142.63,3329917
19-06-2018,143.12,144.22,142.95,143.9,3487015
18-06-2018,144.18,144.52,143.14,144.48,4286406
15-06-2018,144.9,145.47,143.7,145.39,9116048
14-06-2018,146.65,146.98,145.09,145.2,3326343
13-06-2018,146.79,147.47,146.2,146.35,2968180
12-06-2018,147.1,147.52,146.62,146.87,2640515
11-06-2018,146.62,147.41,146.14,146.58,3259986
08-06-2018,145,146.43,144.37,146.14,5210468
07-06-2018,145,146.7,144.93,145.36,4316484
06-06-2018,144.34,144.72,143.54,144.71,3220139
05-06-2018,143.05,144.08,143.04,143.7,2836017
04-06-2018,142.3,143.17,142.18,143.04,3035257
01-06-2018,142.43,142.84,141.62,141.95,3857530
31-05-2018,142.81,142.81,141.05,141.31,6830256
30-05-2018,141.9,143.1,141.82,142.62,5118530
29-05-2018,142.53,142.89,140.21,141.22,4537638
25-05-2018,143.9,144.57,143.46,143.64,4914294
24-05-2018,144.39,144.48,142.95,144.07,3398701
23-05-2018,144.35,144.7,143.48,144.67,3459747
22-05-2018,145.52,146.204,145,145.09,2284020
21-05-2018,144.95,146.04,144.68,145.49,2894698
18-05-2018,144.47,144.94,143.99,144.08,2682243
17-05-2018,144.5,145.19,143.77,144.5,3147659
16-05-2018,143.7,145.0275,143.27,144.63,3168659
15-05-2018,143.5,143.99,142.92,143.74,4089397
14-05-2018,144.47,145.12,144.14,144.3,3216062
11-05-2018,144.11,144.85,143.58,144.14,3073167
10-05-2018,143.15,144.33,143.01,144.24,3726608
09-05-2018,141.9,143.02,141.28,142.61,4195953
08-05-2018,143,143.507,142.06,143,5369119
07-05-2018,144,144.32,142.6403,143.22,3657009
04-05-2018,141.1,144.35,140.28,143.91,4402170
03-05-2018,142.13,142.23,139.9,141.99,5018592
02-05-2018,144.46,144.82,142.07,142.45,5194917
01-05-2018,144.65,145.02,143.47,145,4433393
30-04-2018,146.86,147.38,144.96,144.96,4415533
27-04-2018,146.84,147.25,145.66,146.48,3205482
26-04-2018,146.6,147.36,146.2,146.72,4265812
25-04-2018,145.79,146.4,144.111,145.94,7324654
24-04-2018,146.51,147.3,144.53,145.56,4916476
