,Target
456,3.1432
457,3.1077
458,3.1869
459,3.1748
460,3.2540
461,3.5429
462,3.2442
463,3.2916
464,3.0068
465,3.1492
466,3.0938
467,2.9356
468,2.7596
469,3.0622
470,3.1790
471,3.2897
472,3.3727
473,3.5923
474,3.5230
475,3.3628
476,3.5527
477,3.4875
478,3.4815
479,3.2163
480,3.2837
481,3.1729
482,3.1274
483,3.2698
484,3.4182
485,3.6100
486,3.6357
487,3.5645
488,3.5923
489,3.4420
490,3.6654
491,3.7664
492,3.6119
493,3.6357
494,3.5211
495,3.6021
496,3.6794
497,3.6461
498,3.4932
499,3.5844
500,3.6278
501,4.1244
502,3.8613
503,4.0512
504,3.9781
505,3.8889
506,3.8613
507,3.8693
508,3.9800
509,3.8395
510,3.6160
511,3.6794
512,3.8474
513,3.9563
514,3.8930
515,4.2709
516,4.5637
517,4.4725
518,4.3896
519,4.4171
520,4.4035
521,4.3025
522,3.9800
523,4.2984
524,4.2193
525,4.0294
526,4.1266
527,3.9623
528,4.1699
529,3.9563
530,3.7803
531,3.4578
532,3.6021
533,3.5407
534,3.9205
535,4.0155
536,3.8335
537,3.7623
538,3.8139
539,4.0611
540,3.8395
541,4.0117
542,3.9265
543,3.9345
544,3.7306
545,3.6417
546,3.5034
547,3.5803
548,3.4853
549,3.3372
550,3.1432
551,3.2540
552,3.4062
553,3.1967
554,3.3451
555,3.2084
556,3.1888
557,2.9751
558,2.8466
559,2.7159
560,2.7754
561,2.7621
562,2.7336
563,2.7713
564,2.6586
565,2.8207
566,2.9296
567,2.8900
568,2.9394
569,3.0562
570,3.0008
571,3.0305
572,2.8862
573,2.9910
574,2.8625
575,2.9235
576,2.8862
577,3.0581
578,3.2046
579,3.5214
580,3.4024
581,3.2720
582,3.4265
583,3.2758
584,3.4461
585,3.2442
586,3.3157
587,3.3746
588,3.2682
589,3.2796
590,3.4461
591,3.6164
592,3.6043
593,3.7271
594,3.5765
595,3.6518
596,3.6911
597,3.6240
598,3.3353
599,3.4898
600,3.3904
601,3.0821
602,3.1688
603,3.1688
604,3.2916
605,3.0581
606,3.2163
607,3.1214
608,2.9910
609,3.0384
610,2.9992
611,3.0346
612,2.9593
613,3.0068
614,3.0106
615,3.0188
616,2.9789
617,2.9555
618,3.0701
619,3.2562
620,3.1650
621,3.1967
622,3.2720
623,3.4379
624,3.5518
625,3.5961
626,3.6752
627,3.7468
628,3.7664
629,3.8575
630,4.0158
631,3.9525
632,3.6993
633,3.9246
634,3.7271
635,3.6993
636,3.6556
637,3.6714
638,3.5993
639,3.4961
640,3.8398
641,3.7942
642,3.8645
643,3.5885
644,3.3037
645,3.3866
646,3.2562
647,3.0979
648,3.3866
649,1.6300
650,1.5350
651,1.4122
652,1.4952
653,1.3964
654,1.4046
655,1.3768
656,1.3211
657,1.2420
658,1.2660
659,1.3964
660,1.3610
661,1.2736
662,1.2736
663,1.1989
664,1.2344
665,1.2894
666,1.1945
667,1.1711
668,1.1711
669,1.1749
670,1.2223
671,1.2382
672,1.2977
673,1.4122
674,1.4084
675,1.3572
676,1.3489
677,1.2698
678,1.2780
679,1.2065
680,1.2261
681,1.2818
682,1.2578
683,1.2027
684,1.1711
685,1.1989
686,1.1907
687,1.1711
688,1.2223
689,1.1831
690,1.1413
691,1.1116
692,1.0445
693,1.0799
694,1.0565
695,1.0761
696,0.9058
697,0.9058
698,0.9533
699,0.9615
700,0.9736
701,0.9495
702,0.9141
703,0.8900
704,0.9020
705,0.8862
706,0.9103
707,0.8900
708,0.9495
709,0.9299
710,0.9375
711,0.9375
712,0.9419
713,0.9419
714,1.0362
715,1.0799
716,1.0362
717,1.0483
718,1.0881
719,1.0483
720,1.1394
721,1.0881
722,1.0837
723,1.0641
724,1.1831
725,1.2344
726,1.2185
727,1.2977
728,1.2977
729,1.2622
730,1.2382
731,1.3730
732,1.3768
733,1.3686
734,1.3369
735,1.3053
736,1.2780
737,1.3369
738,1.3135
739,1.3135
740,1.2103
741,1.2464
742,1.2103
743,1.2344
744,1.2698
745,1.2027
746,1.1590
747,1.1945
748,1.1907
749,1.1907
750,1.2344
751,1.2261
752,1.1552
753,1.1869
754,1.2185
755,1.2894
756,1.3610
757,1.3451
758,1.3173
759,1.2818
760,1.1787
761,1.2382
762,1.2939
763,1.2464
764,1.2420
765,1.3015
766,1.2464
767,1.2736
768,1.3686
769,1.4559
770,1.3787
771,1.4477
772,1.4034
773,1.4262
774,1.3970
775,1.3667
776,1.2812
777,1.2344
778,1.3211
779,1.3034
780,1.3002
781,1.3951
782,1.3800
783,1.4192
784,1.3572
785,1.2913
786,1.4426
787,1.6281
788,1.5850
789,1.5350
790,1.5211
791,1.5648
792,1.5629
793,1.6585
794,1.6135
795,1.6414
796,1.6832
797,1.5800
798,1.6300
799,1.5800
800,1.5553
801,1.5179
802,1.4559
803,1.4464
804,1.4743
805,1.4673
806,1.5255
807,1.4907
808,1.4895
809,1.4914
810,1.4876
811,1.4705
812,1.4686
813,1.4407
814,1.3591
815,1.2521
816,1.2628
817,1.3224
818,1.3078
819,1.3255
820,1.3122
821,1.3711
822,1.3496
823,1.2685
824,1.2856
825,1.2958
826,1.2584
827,1.2939
828,1.2869
829,1.2780
830,1.3717
831,1.4236
832,1.4091
833,1.5186
834,1.5034
835,1.4774
836,1.4901
837,1.4717
838,1.5129
839,1.5091
840,1.4679
841,1.3945
842,1.4369
843,1.3382
844,1.4268
845,1.5420
846,1.5730
847,1.5167
848,1.5888
849,1.3160
850,1.2635
851,1.2647
852,1.2369
853,1.2084
854,1.1692
855,1.1768
856,1.2002
857,1.1983
858,1.1894
859,1.2065
860,1.2546
861,1.2344
862,1.2109
863,1.2185
864,1.1964
865,1.2059
866,1.2040
867,1.2084
868,1.1856
869,1.1673
870,1.1806
871,1.1438
872,1.1470
873,1.1343
874,1.1527
875,1.1274
876,1.1755
877,1.1976
878,1.1647
879,1.1287
880,1.1287
881,1.1742
882,1.1552
883,1.1742
884,1.1217
885,1.0938
886,1.0995
887,1.0755
888,1.0305
889,1.0774
890,0.9926
891,0.9957
892,1.0413
893,0.9837
894,0.9590
895,0.9818
896,0.9818
897,0.9837
898,0.9527
899,0.9482
900,1.0052
901,1.0217
902,1.0255
903,1.0128
904,1.0647
905,1.1230
906,1.1400
907,1.1388
908,1.1400
909,1.0755
910,1.1394
911,1.1584
912,1.2040
913,1.1483
914,1.1995
915,1.2147
916,1.1818
917,1.1160
918,1.1141
919,1.1116
920,1.1768
921,1.1755
922,1.2071
923,1.2388
924,1.2401
925,1.1844
926,1.1844
927,1.1869
928,1.2261
929,1.2413
930,1.2312
931,1.2008
932,1.2660
933,1.2363
934,1.2458
935,1.2559
936,1.3527
937,1.3293
938,1.2996
939,1.2926
940,1.3483
941,1.3325
942,1.4179
943,1.5040
944,1.4420
945,1.4268
946,1.4268
947,1.3787
948,1.3603
949,1.3293
950,1.2907
951,1.3053
952,1.3299
953,1.3686
954,1.3084
955,1.3293
956,1.3521
957,1.3603
958,1.3970
959,1.4198
960,1.3863
961,1.4749
962,1.4926
963,1.4996
964,1.4496
965,1.4312
966,1.3705
967,1.3439
968,1.3325
969,1.3388
970,1.3736
971,1.3154
972,1.4230
973,1.4034
974,1.3812
975,1.4572
976,1.4692
977,1.4717
978,1.4730
979,1.4603
